着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,horse_id,jockey_id
1,3,4,ワセダインブルー,牡5,57,原田和真,2:43.6,,13.6,7,442(-6),[東] 金成貴史,2600,曇,芝,重,2020年1月19日,2015104408,01143
2,5,7,ピエナアラシ,牡6,57,古川吉洋,2:43.6,クビ,9.4,5,478(-6),[西] 谷潔,2600,曇,芝,重,2020年1月19日,2014103521,01015
3,4,5,ヒラボクメルロー,牝4,54,西村淳也,2:44.2,3.1/2,7.4,4,450(-10),[西] 寺島良,2600,曇,芝,重,2020年1月19日,2016102005,01171
4,8,13,サダムラピュタ,牡5,57,松若風馬,2:44.9,4,6.9,3,478(+10),[西] 平田修,2600,曇,芝,重,2020年1月19日,2015106286,01154
5,7,11,ダノンアポロン,牡5,57,吉田隼人,2:45.0,3/4,15.9,8,504(+14),[西] 村山明,2600,曇,芝,重,2020年1月19日,2015101185,01095
6,6,9,トゥプエデス,牡4,56,団野大成,2:45.0,クビ,25.7,9,448(-2),[西] 高橋康之,2600,曇,芝,重,2020年1月19日,2016103067,01180
7,6,10,ブラックハーデス,牡4,56,斎藤新,2:45.0,ハナ,2.9,1,448(+10),[西] 西浦勝一,2600,曇,芝,重,2020年1月19日,2016102720,01178
8,4,6,クルミネイト,牝4,54,藤岡佑介,2:45.0,アタマ,11.1,6,448(+6),[東] 堀宣行,2600,曇,芝,重,2020年1月19日,2016104460,01093
9,5,8,イクヨロブロイ,牡5,57,丸田恭介,2:45.4,2.1/2,184.9,14,486(+8),[東] 浅野洋一,2600,曇,芝,重,2020年1月19日,2015101834,01117
10,1,1,ブラックデビル,牡5,57,丹内祐次,2:47.5,大,43.9,10,474(-4),[東] 中野栄治,2600,曇,芝,重,2020年1月19日,2015105451,01091
11,7,12,オーシャンスケイプ,牝4,54,藤田菜七,2:49.1,10,58.8,11,436(+32),[西] 西村真幸,2600,曇,芝,重,2020年1月19日,2016104557,01164
12,2,2,トリックスター,牡4,56,杉原誠人,2:50.2,7,60.8,12,492(+2),[東] 鹿戸雄一,2600,曇,芝,重,2020年1月19日,2016105204,01135
13,8,14,フェルシュテルケン,牡4,56,嶋田純次,2:53.3,大,124.9,13,498(0),[東] 手塚貴久,2600,曇,芝,重,2020年1月19日,2016104886,01134
中,3,3,エクスプローシブ,牡4,56,勝浦正樹,,,5.2,2,460(+14),[東] 尾関知人,2600,曇,芝,重,2020年1月19日,2016104383,01025
